msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,4,84,89,12,35,22,100,113,14,0,7,29,0
1,4,85,89,12,35,22,100,114,14,0,7,30,0
1,4,85,89,12,35,22,100,115,14,0,7,29,0
1,4,86,89,12,35,22,100,116,14,0,7,28,0
1,4,84,89,12,35,22,100,117,14,0,7,30,0
1,4,85,89,12,35,22,100,118,14,0,7,29,0
1,4,88,89,12,35,22,100,119,14,0,7,31,0
1,4,86,89,12,35,22,100,120,14,0,7,33,0
1,4,87,89,12,35,22,100,121,14,0,7,30,0
1,4,89,89,12,35,22,100,122,14,0,7,30,0
1,4,88,89,12,35,22,100,123,14,0,7,30,0
1,4,89,89,12,35,22,100,124,14,0,7,30,0
1,4,91,91,12,35,22,100,125,14,0,7,31,0
1,4,90,91,12,35,21,100,126,14,0,7,30,0
1,4,89,91,12,35,22,100,127,14,0,7,30,0
1,4,91,91,12,35,22,100,128,14,0,7,30,0
1,4,89,91,12,35,22,100,129,14,0,7,30,0
1,4,90,91,12,35,22,100,130,14,0,7,30,0
1,4,93,93,12,35,22,100,131,14,0,7,31,0
1,4,89,93,12,35,25,100,132,14,0,7,30,0
1,4,88,93,12,35,27,100,133,14,0,7,29,0
1,4,96,96,12,35,22,100,134,14,0,7,30,0
1,4,88,96,12,35,25,100,135,14,0,7,30,0
1,4,87,96,12,35,32,100,136,14,0,7,31,0
1,4,98,98,12,35,22,100,137,14,0,7,29,0
1,4,88,98,12,35,25,100,138,14,0,7,30,0
1,4,91,98,12,35,25,100,139,14,0,7,27,0
1,4,89,98,12,35,25,100,140,14,0,7,33,0
1,4,88,98,12,35,22,100,141,14,0,7,27,0
1,4,86,98,12,35,28,100,142,14,1,7,30,0
1,4,92,98,12,35,25,100,143,14,3,7,30,0
1,4,91,98,12,35,22,100,144,14,3,7,30,0
1,4,93,98,12,35,22,100,145,14,3,7,31,0
1,4,92,98,12,35,19,100,146,14,4,7,29,0
1,4,93,98,12,35,22,100,147,14,4,7,31,0
1,4,92,98,12,35,22,100,148,14,4,7,30,0
1,4,91,98,12,35,22,100,149,14,4,7,28,0
1,4,92,98,12,35,22,100,150,14,4,7,31,0
1,4,95,98,12,35,22,100,151,14,4,7,30,0
1,4,96,98,12,35,22,100,152,14,4,7,31,0
1,4,94,98,12,35,22,100,153,14,4,7,31,0
1,4,93,98,12,35,22,100,154,14,4,7,29,0
1,4,93,98,12,35,21,100,155,14,4,7,29,0
1,4,91,98,12,35,22,100,156,14,4,7,29,0
1,4,95,98,12,35,22,100,157,14,4,7,30,0
1,4,92,98,12,35,25,100,158,14,4,7,31,0
1,4,93,98,12,35,22,100,159,14,4,7,30,0
1,4,94,98,12,35,22,100,160,14,4,7,29,0
1,4,93,98,12,35,22,100,161,14,4,7,30,0
1,4,92,98,12,35,26,100,162,14,4,7,31,0
1,4,95,98,12,35,22,100,163,14,4,7,30,0
1,4,92,98,12,35,22,100,164,14,4,7,30,0
1,4,96,98,12,35,22,100,165,14,4,7,29,0
1,4,91,98,12,35,24,100,166,14,4,7,28,0
1,4,93,98,12,35,22,100,167,14,5,7,30,0
1,4,97,98,12,35,22,100,168,14,5,7,30,0
1,4,93,98,12,35,22,100,169,14,5,7,31,0
1,4,93,98,12,35,25,100,170,14,5,7,30,0
1,4,94,98,12,35,28,100,171,14,5,7,30,0
1,4,94,98,12,35,21,100,172,14,5,7,31,0
1,4,94,98,12,35,25,100,173,14,5,7,28,0
1,4,95,98,12,35,22,100,174,14,5,7,29,0
1,4,94,98,12,35,25,100,175,14,5,7,29,0
1,4,94,98,12,35,33,100,176,14,5,7,30,0
1,4,97,98,12,35,22,100,177,14,5,7,28,0
1,4,93,98,12,35,25,100,178,14,5,7,30,0
1,4,96,98,12,35,22,100,179,14,5,7,28,0
1,4,91,98,12,35,29,100,180,14,5,7,28,0
1,4,93,98,12,35,22,100,181,14,5,7,28,0
1,4,89,98,12,35,25,100,182,14,5,7,30,0
1,4,91,98,12,35,22,100,183,14,5,7,30,0
1,4,96,98,12,35,22,100,184,14,5,7,30,0
1,4,94,98,12,35,22,100,185,14,5,7,30,0
1,4,91,98,12,35,22,100,186,14,5,7,30,0
1,4,92,98,12,35,22,100,187,14,5,7,31,0
1,4,93,98,12,35,22,100,188,14,5,7,30,0
1,4,90,98,12,35,22,100,189,14,5,7,31,0
1,4,89,98,12,35,22,100,190,14,5,7,31,0
1,4,89,98,12,35,22,100,191,14,5,7,31,0
1,4,91,98,12,35,22,100,192,14,5,7,32,0
1,4,91,98,12,35,22,100,193,14,5,7,30,0
1,4,91,98,12,35,22,100,194,14,5,7,30,0
1,4,93,98,12,35,22,100,195,14,5,7,32,0
1,4,93,98,12,35,22,100,196,14,5,7,32,0
1,4,91,98,12,35,22,100,197,14,5,7,31,0
1,4,92,98,12,35,22,100,198,14,5,7,32,0
1,4,91,98,12,35,22,100,199,14,5,7,30,0
1,4,92,98,12,35,22,100,200,14,5,7,31,0
1,4,91,98,12,35,22,100,201,14,5,7,32,0
1,4,91,98,12,35,22,100,202,14,5,7,31,0
1,4,92,98,12,35,22,100,203,14,5,7,31,0
1,4,91,98,12,35,22,100,204,14,5,7,29,0
1,4,91,98,12,35,22,100,205,14,5,7,30,0
1,4,93,98,12,35,22,100,206,14,5,7,32,0
1,4,88,98,12,35,22,100,207,14,5,7,30,0
1,4,88,98,12,35,22,100,208,14,5,7,30,0
1,4,87,98,12,35,22,100,209,14,5,7,31,0
1,4,90,98,12,35,22,100,210,14,5,7,29,0
1,4,90,98,12,35,22,100,211,14,5,7,30,0
1,4,91,98,12,35,21,100,212,14,5,7,31,0
1,4,93,98,12,35,22,100,213,14,5,7,30,0
1,4,89,98,12,35,22,100,214,14,5,7,33,0
1,4,94,98,12,35,22,100,215,14,5,7,30,0
1,4,89,98,12,35,22,100,216,14,5,7,31,0
1,4,93,98,12,35,22,100,217,14,5,7,31,0
1,4,94,98,12,35,22,100,218,14,5,7,28,0
1,4,92,98,12,35,22,100,219,14,5,7,31,0
1,4,91,98,12,35,22,100,220,14,5,7,31,0
1,4,90,98,12,35,22,100,221,14,5,7,30,0
1,4,88,98,12,35,22,100,222,14,5,7,30,0
1,4,90,98,12,35,22,100,223,14,5,7,29,0
1,4,91,98,12,35,22,100,224,14,5,7,29,0
1,4,89,98,12,35,22,100,225,14,5,7,31,0
1,4,91,98,12,35,22,100,226,14,5,7,27,0
1,4,92,98,12,35,22,100,227,14,5,7,29,0
1,4,91,98,12,35,22,100,228,14,5,7,28,0
1,4,91,98,12,35,16,100,229,14,5,7,29,0
1,4,90,98,12,35,22,100,230,14,5,7,30,0
1,4,91,98,12,35,21,100,237,14,5,7,30,0
1,4,90,98,12,35,22,100,238,14,5,7,28,0
1,4,90,98,12,35,22,100,239,14,5,7,27,0
1,4,89,98,12,35,22,100,240,14,5,7,30,0
1,4,87,98,12,35,24,100,246,14,5,7,27,0
1,4,91,98,12,35,22,100,247,14,5,7,31,0
1,4,93,98,12,35,22,100,248,14,5,7,28,0
1,4,91,98,12,35,22,100,249,14,5,7,30,0
1,4,91,98,12,35,22,100,250,14,5,7,29,0
1,4,91,98,12,35,22,100,251,14,5,7,30,0
1,4,90,98,12,35,22,100,252,14,5,7,31,0
1,4,91,98,12,35,22,100,253,14,5,7,28,0
1,4,87,98,12,35,22,100,254,14,5,7,30,0
1,4,97,98,12,35,22,100,255,14,5,7,30,0
1,4,88,98,12,35,24,100,256,14,6,7,32,0
1,4,98,98,12,35,22,100,257,14,6,7,28,0
1,4,95,98,12,35,21,100,258,14,8,7,29,0
1,4,91,98,12,35,22,100,259,14,8,7,28,0
1,4,93,98,12,35,22,100,260,14,8,7,29,0
1,4,88,98,12,35,22,100,261,14,8,7,29,0
1,4,85,98,12,35,22,100,262,14,8,7,28,0
1,4,88,98,12,35,22,100,263,14,8,7,28,0
1,4,88,98,12,35,21,100,264,14,8,7,30,0
1,4,88,98,12,35,22,100,265,14,8,7,31,0
1,4,89,98,12,35,22,100,266,14,8,7,30,0
1,4,88,98,12,35,22,100,267,14,8,7,31,0
1,4,87,98,12,35,22,100,268,14,8,7,29,0
1,4,87,98,12,35,22,100,269,14,8,7,29,0
1,4,86,98,12,35,21,100,270,14,8,7,31,0
1,4,87,98,12,35,22,100,271,14,8,7,30,0
1,4,91,98,12,35,22,100,272,14,8,7,30,0
1,4,92,98,12,35,22,100,273,14,8,7,30,0
1,4,93,98,12,35,22,100,274,14,8,7,32,0
1,4,92,98,12,35,18,100,275,14,8,7,32,0
1,4,92,98,12,35,22,100,276,14,8,7,30,0
1,4,89,98,12,35,22,100,277,14,8,7,29,0
1,4,87,98,12,35,22,100,278,14,8,7,28,0
1,4,90,98,12,35,21,100,279,14,8,7,30,0
1,4,92,98,12,35,22,100,280,14,8,7,30,0
1,4,91,98,12,35,22,100,281,14,8,7,30,0
1,4,91,98,12,35,25,100,282,14,8,7,29,0
1,4,93,98,12,35,22,100,283,14,8,7,30,0
1,4,92,98,12,35,22,100,284,14,10,7,30,0
1,4,92,98,12,35,22,100,285,14,10,7,31,0
1,4,94,98,12,35,22,100,286,14,10,7,31,0
1,4,94,98,12,35,22,100,287,14,10,7,31,0
1,4,92,98,12,35,22,100,288,14,10,7,30,0
1,4,93,98,12,35,22,100,289,14,10,7,32,0
1,4,93,98,12,35,22,100,290,14,10,7,32,0
1,4,92,98,12,35,21,100,291,14,10,7,31,0
1,4,92,98,12,35,22,100,292,14,10,7,30,0
1,4,92,98,12,35,22,100,293,14,10,7,30,0
1,4,90,98,12,35,21,100,294,14,10,7,32,0
1,4,90,98,12,35,22,100,295,14,10,7,31,0
1,4,88,98,12,35,22,100,296,14,10,7,33,0
1,4,85,98,12,35,22,100,297,14,10,7,29,0
1,4,82,98,12,35,22,100,298,14,10,7,32,0
1,4,84,98,12,35,22,100,299,14,10,7,30,0
1,4,88,98,12,35,22,100,300,14,10,7,32,0
1,4,87,98,12,35,22,100,302,14,10,7,32,0
1,4,86,98,12,35,22,100,303,14,10,7,31,0
1,4,84,98,12,35,22,100,304,14,10,7,31,0
1,4,85,98,12,35,22,100,305,14,10,7,31,0
1,4,88,98,12,35,22,100,306,14,10,7,31,0
1,4,86,98,12,35,22,100,307,14,10,7,30,0
1,4,85,98,12,35,22,100,308,14,10,7,33,0
1,4,85,98,12,35,22,100,309,14,10,7,33,0
1,4,87,98,12,35,22,100,310,14,10,7,32,0
1,4,88,98,12,35,22,100,311,14,10,7,32,0
1,4,87,98,12,35,22,100,312,14,10,7,32,0
1,4,87,98,12,35,22,100,313,14,10,7,30,0
1,4,89,98,12,35,22,100,314,14,10,7,31,0
1,4,89,98,12,35,22,100,315,14,10,7,31,0
1,4,86,98,12,35,22,100,316,14,10,7,30,0
1,4,87,98,12,35,22,100,317,14,10,7,30,0
1,4,90,98,12,35,22,100,318,14,10,7,31,0
1,4,86,98,12,35,22,100,319,14,10,7,32,0
1,4,94,98,12,35,22,100,320,14,10,7,30,0
1,4,90,98,12,35,22,100,321,14,10,7,31,0
1,4,87,98,12,35,22,100,322,14,10,7,30,0
1,4,88,98,12,35,22,100,323,14,10,7,29,0
1,4,85,98,12,35,22,100,324,14,10,7,31,0
1,4,91,98,12,35,22,100,325,14,10,7,31,0
1,4,90,98,12,35,22,100,326,14,10,7,29,0
1,4,89,98,12,35,22,100,327,14,10,7,32,0
1,4,90,98,12,35,22,100,328,14,10,7,31,0
1,4,87,98,12,35,22,100,329,14,10,7,32,0
1,4,90,98,12,35,22,100,332,14,10,7,31,0
1,4,86,98,12,35,22,100,333,14,10,7,30,0
1,4,85,98,12,35,22,100,334,14,10,7,32,0
1,4,86,98,12,35,22,100,336,14,10,7,30,0
1,4,87,98,12,35,22,100,337,14,10,7,31,0
1,4,89,98,12,35,22,100,338,14,10,7,32,0
1,4,88,98,12,35,22,100,340,14,10,7,32,0
1,4,87,98,12,35,22,100,341,14,10,7,31,0
1,4,86,98,12,35,21,100,342,14,10,7,30,0
