iTOW,clkB,clkD,tAcc,fAcc
569587000,-282562,134,4,410
569588000,-282429,134,4,409
569589000,-282295,134,4,410
569590000,-282161,133,4,397
569591000,-282027,133,3,395
569592000,-281894,133,3,394
569593000,-281761,133,3,400
569594000,-281628,133,3,388
569595000,-281495,133,3,356
569596000,-281361,133,3,348
569597000,-281228,132,3,379
569598000,-281096,132,3,398
569599000,-280963,133,3,377
569600000,-280830,133,3,381
569601000,-280697,133,3,374
569602000,-280564,133,3,387
569603000,-280430,133,3,389
569604000,-280297,133,3,429
569605000,-280165,132,3,413
569606000,-280033,131,3,366
569607000,-279901,132,3,397
569608000,-279769,132,3,372
569609000,-279637,132,3,352
569610000,-279505,132,3,395
569611000,-279373,132,3,366
569612000,-279241,132,3,376
569613000,-279109,131,3,396
569614000,-278977,132,3,371
569615000,-278845,132,3,364
569616000,-278713,132,2,371
569617000,-278582,132,2,388
569618000,-278450,131,2,377
569619000,-278319,131,2,375
569620000,-278189,131,2,400
569621000,-278058,131,2,398
569622000,-277928,129,2,351
569623000,-277798,130,2,423
569624000,-277664,134,2,397
569625000,-277533,130,2,429
569626000,-277404,128,3,452
569627000,-277276,129,3,468
569628000,-277147,129,3,421
569629000,-277018,129,3,409
569630000,-276889,129,2,400
569631000,-276760,129,2,377
569632000,-276632,129,2,396
569633000,-276503,129,2,393
569634000,-276374,129,2,415
569635000,-276245,129,2,377
569636000,-276115,129,2,368
569637000,-275986,129,2,356
569638000,-275857,129,2,330
569639000,-275729,129,2,386
569640000,-275600,129,2,392
569641000,-275471,129,2,395
569642000,-275342,129,2,344
569643000,-275213,129,2,423
569644000,-275084,129,2,417
569645000,-274956,128,2,474
569646000,-274827,128,2,430
569647000,-274699,128,2,450
569648000,-274571,128,2,472
569649000,-274443,128,2,455
569650000,-274315,128,2,458
569651000,-274187,128,3,452
569652000,-274059,128,3,475
569653000,-273932,128,3,429
569654000,-273804,127,3,393
569655000,-273676,128,3,412
569656000,-273548,129,2,411
569657000,-273421,127,2,397
569658000,-273294,127,2,426
569659000,-273168,126,2,426
569660000,-273042,127,2,414
569661000,-272915,127,2,415
569662000,-272788,127,2,409
569663000,-272661,127,2,418
569664000,-272534,127,2,417
569665000,-272407,127,2,412
