version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,569587000,-241820451.19,538576768.73,240576366.99,0,2253.5
0,0,569588000,-241820450.45,538576769.44,240576368.82,0,2142.8
0,0,569589000,-241820450.26,538576771.18,240576375.6,0,2043.5
0,0,569590000,-241820450.92,538576774.46,240576382.29,0,1957.9
0,0,569591000,-241820453.15,538576776.73,240576390.35,0,1882.5
0,0,569592000,-241820481.57,538576766.22,240576402.09,0,1815.1
0,0,569593000,-241820555.62,538576739.89,240576440.78,0,1759.2
0,0,569594000,-241820659.17,538576703.74,240576481.16,0,1713.4
0,0,569595000,-241820752.86,538576656.04,240576515.36,0,1668.4
0,0,569596000,-241820853.38,538576611.92,240576546.22,0,1626.8
0,0,569597000,-241820954.89,538576553.92,240576582.76,0,1589.1
0,0,569598000,-241821053.83,538576504.37,240576616.1,0,1558.6
0,0,569599000,-241821154.69,538576452.1,240576650.83,0,1531.9
0,0,569600000,-241821255.96,538576393.62,240576694.88,0,1504.6
0,0,569601000,-241821358.15,538576339.43,240576737.28,0,1472.8
0,0,569602000,-241821452.76,538576286.69,240576779.04,0,1446.5
0,0,569603000,-241821545.13,538576243.43,240576820.87,0,1421.5
0,0,569604000,-241821630.27,538576190.59,240576866.96,0,1405.9
0,0,569605000,-241821718.94,538576138.8,240576925.17,0,1389.3
0,0,569606000,-241821807.69,538576091.97,240576978.51,0,1369.9
0,0,569607000,-241821888.36,538576034.71,240577042.72,0,1352.7
0,0,569608000,-241821960.83,538575977.29,240577109.87,0,1334.9
0,0,569609000,-241822019.85,538575915.99,240577182.61,0,1316.6
0,0,569610000,-241822055.21,538575864.41,240577269.24,0,1300.5
0,0,569611000,-241822070.62,538575822.41,240577364.98,0,1285.9
0,0,569612000,-241822078.63,538575775.67,240577460.13,0,1272.6
0,0,569613000,-241822083.29,538575725.11,240577558.17,0,1262.0
0,0,569614000,-241822083.27,538575671.22,240577661.84,0,1251.4
0,0,569615000,-241822080.97,538575619.95,240577767.49,0,1240.3
0,0,569616000,-241822068.48,538575564.68,240577868.7,0,1230.0
0,0,569617000,-241822057.54,538575502.95,240577970.51,0,1222.9
0,0,569618000,-241822053.77,538575444.84,240578064.58,0,1216.1
0,0,569619000,-241822052.9,538575396.34,240578161.25,0,1209.1
0,0,569620000,-241822047.54,538575352.82,240578270.31,0,1203.9
0,0,569621000,-241822045.6,538575306.97,240578379.66,0,1205.0
0,0,569622000,-241822039.35,538575252.83,240578488.75,0,1203.5
0,0,569623000,-241822047.21,538575198.15,240578599.97,0,1205.8
0,0,569624000,-241822056.16,538575140.63,240578707.96,0,1208.7
0,0,569625000,-241822056.81,538575069.37,240578806.5,0,1212.4
0,0,569626000,-241822022.16,538575031.56,240578894.37,0,1216.4
0,0,569627000,-241821941.8,538575053.73,240578933.0,0,1222.2
0,0,569628000,-241821853.6,538575111.95,240578914.77,0,1224.4
0,0,569629000,-241821769.25,538575185.12,240578859.98,0,1222.6
0,0,569630000,-241821705.38,538575250.7,240578784.31,0,1216.6
0,0,569631000,-241821659.45,538575314.38,240578696.88,0,1208.5
0,0,569632000,-241821611.62,538575392.12,240578609.82,0,1203.3
0,0,569633000,-241821544.86,538575477.52,240578538.68,0,1198.3
0,0,569634000,-241821459.23,538575553.21,240578479.44,0,1193.5
0,0,569635000,-241821394.04,538575614.83,240578416.63,0,1186.8
0,0,569636000,-241821322.49,538575684.23,240578351.2,0,1177.8
0,0,569637000,-241821228.33,538575760.2,240578284.73,0,1170.1
0,0,569638000,-241821132.79,538575834.44,240578223.31,0,1161.4
0,0,569639000,-241821047.59,538575903.56,240578167.38,0,1157.1
0,0,569640000,-241820966.44,538575977.75,240578109.92,0,1156.2
0,0,569641000,-241820891.87,538576058.89,240578047.54,0,1156.2
0,0,569642000,-241820825.96,538576141.01,240577974.2,0,1154.0
0,0,569643000,-241820755.67,538576225.38,240577900.79,0,1154.8
0,0,569644000,-241820678.03,538576306.06,240577826.15,0,1159.7
0,0,569645000,-241820615.11,538576380.04,240577739.31,0,1173.2
0,0,569646000,-241820556.67,538576450.64,240577655.14,0,1182.5
0,0,569647000,-241820499.02,538576513.98,240577578.19,0,1191.8
0,0,569648000,-241820418.22,538576570.62,240577513.83,0,1205.6
0,0,569649000,-241820343.29,538576638.07,240577447.38,0,1216.4
0,0,569650000,-241820287.03,538576715.3,240577371.98,0,1225.9
0,0,569651000,-241820246.34,538576775.91,240577287.68,0,1235.6
0,0,569652000,-241820224.62,538576832.77,240577178.57,0,1245.4
0,0,569653000,-241820229.18,538576882.11,240577058.31,0,1250.4
0,0,569654000,-241820252.52,538576916.43,240576937.56,0,1247.8
0,0,569655000,-241820273.19,538576956.44,240576813.81,0,1245.3
0,0,569656000,-241820283.74,538577003.03,240576697.5,0,1240.8
0,0,569657000,-241820291.0,538577024.65,240576611.76,0,1231.4
0,0,569658000,-241820290.35,538577032.38,240576582.76,0,1226.0
0,0,569659000,-241820292.78,538577033.41,240576580.41,0,1222.6
0,0,569660000,-241820296.1,538577037.81,240576583.32,0,1219.9
0,0,569661000,-241820297.51,538577043.56,240576585.96,0,1218.0
0,0,569662000,-241820297.5,538577047.38,240576588.47,0,1214.9
0,0,569663000,-241820296.93,538577051.59,240576590.59,0,1213.2
0,0,569664000,-241820297.76,538577057.28,240576593.0,0,1210.8
0,0,569665000,-241820301.19,538577066.02,240576596.04,0,1205.5
