iTOW,ecefX,ecefY,ecefZ,pAcc
569587000,-241820451,538576769,240576367,225
569588000,-241820450,538576769,240576369,214
569589000,-241820450,538576771,240576376,204
569590000,-241820451,538576774,240576382,196
569591000,-241820453,538576777,240576390,188
569592000,-241820482,538576766,240576402,182
569593000,-241820556,538576740,240576441,176
569594000,-241820659,538576704,240576481,171
569595000,-241820753,538576656,240576515,167
569596000,-241820853,538576612,240576546,163
569597000,-241820955,538576554,240576583,159
569598000,-241821054,538576504,240576616,156
569599000,-241821155,538576452,240576651,153
569600000,-241821256,538576394,240576695,150
569601000,-241821358,538576339,240576737,147
569602000,-241821453,538576287,240576779,145
569603000,-241821545,538576243,240576821,142
569604000,-241821630,538576191,240576867,141
569605000,-241821719,538576139,240576925,139
569606000,-241821808,538576092,240576979,137
569607000,-241821888,538576035,240577043,135
569608000,-241821961,538575977,240577110,133
569609000,-241822020,538575916,240577183,132
569610000,-241822055,538575864,240577269,130
569611000,-241822071,538575822,240577365,129
569612000,-241822079,538575776,240577460,127
569613000,-241822083,538575725,240577558,126
569614000,-241822083,538575671,240577662,125
569615000,-241822081,538575620,240577767,124
569616000,-241822068,538575565,240577869,123
569617000,-241822058,538575503,240577971,122
569618000,-241822054,538575445,240578065,122
569619000,-241822053,538575396,240578161,121
569620000,-241822048,538575353,240578270,120
569621000,-241822046,538575307,240578380,121
569622000,-241822039,538575253,240578489,120
569623000,-241822047,538575198,240578600,121
569624000,-241822056,538575141,240578708,121
569625000,-241822057,538575069,240578806,121
569626000,-241822022,538575032,240578894,122
569627000,-241821942,538575054,240578933,122
569628000,-241821854,538575112,240578915,122
569629000,-241821769,538575185,240578860,122
569630000,-241821705,538575251,240578784,122
569631000,-241821659,538575314,240578697,121
569632000,-241821612,538575392,240578610,120
569633000,-241821545,538575478,240578539,120
569634000,-241821459,538575553,240578479,119
569635000,-241821394,538575615,240578417,119
569636000,-241821322,538575684,240578351,118
569637000,-241821228,538575760,240578285,117
569638000,-241821133,538575834,240578223,116
569639000,-241821048,538575904,240578167,116
569640000,-241820966,538575978,240578110,116
569641000,-241820892,538576059,240578048,116
569642000,-241820826,538576141,240577974,115
569643000,-241820756,538576225,240577901,115
569644000,-241820678,538576306,240577826,116
569645000,-241820615,538576380,240577739,117
569646000,-241820557,538576451,240577655,118
569647000,-241820499,538576514,240577578,119
569648000,-241820418,538576571,240577514,121
569649000,-241820343,538576638,240577447,122
569650000,-241820287,538576715,240577372,123
569651000,-241820246,538576776,240577288,124
569652000,-241820225,538576833,240577179,125
569653000,-241820229,538576882,240577058,125
569654000,-241820253,538576916,240576938,125
569655000,-241820273,538576956,240576814,125
569656000,-241820284,538577003,240576697,124
569657000,-241820291,538577025,240576612,123
569658000,-241820290,538577032,240576583,123
569659000,-241820293,538577033,240576580,122
569660000,-241820296,538577038,240576583,122
569661000,-241820298,538577044,240576586,122
569662000,-241820297,538577047,240576588,121
569663000,-241820297,538577052,240576591,121
569664000,-241820298,538577057,240576593,121
569665000,-241820301,538577066,240576596,121
