version,reserved1,iTOW,dur,meanX,meanY,meanZ,meanXHP,meanYHP,meanZHP,reserved2,meanAcc,obs,valid,active,reserved3
0,0,108565500,881,-241823456,538586908,240549670,45,3,-49,0,65847,2907,0,1,0
0,0,108566400,882,-241823539,538586923,240549551,-47,-1,13,0,65496,2912,0,1,0
0,0,108567300,883,-241823623,538586938,240549433,-22,-10,-1,0,65147,2917,0,1,0
0,0,108568200,884,-241823707,538586953,240549315,27,-24,17,0,64799,2922,0,1,0
0,0,108568700,884,-241823753,538586961,240549249,-34,5,40,0,71015,2927,0,1,0
0,0,108569500,885,-241823828,538586974,240549144,-38,37,-49,0,64114,2932,0,1,0
0,0,108570300,886,-241823903,538586988,240549038,-31,-36,-20,0,70319,2937,0,1,0
0,0,108571100,887,-241823978,538587001,240548932,-41,-13,6,0,63428,2942,0,1,0
0,0,108571800,888,-241824044,538587012,240548840,-8,47,-32,0,63088,2947,0,1,0
0,0,108572500,888,-241824110,538587024,240548747,-7,7,1,0,62763,2952,0,1,0
0,0,108573200,889,-241824176,538587036,240548654,-44,-34,0,0,62425,2957,0,1,0
0,0,108573700,889,-241824224,538587044,240548587,-21,-10,21,0,68622,2962,0,1,0
0,0,108574300,890,-241824282,538587054,240548506,-9,-23,46,0,68284,2967,0,1,0
0,0,108574800,891,-241824331,538587062,240548439,25,-4,-24,0,67949,2972,0,1,0
0,0,108575400,891,-241824390,538587072,240548357,39,-21,8,0,67613,2977,0,1,0
0,0,108575900,892,-241824439,538587080,240548289,-8,-3,-37,0,67280,2982,0,1,0
0,0,108576700,892,-241824519,538587093,240548179,30,3,-25,0,60403,2987,0,1,0
0,0,108577500,893,-241824599,538587106,240548069,48,-5,-7,0,60038,2992,0,1,0
0,0,108578300,894,-241824679,538587119,240547959,30,-25,3,0,59673,2997,0,1,0
0,0,108579200,895,-241824769,538587133,240547836,1,-9,-24,0,59309,3002,0,1,0
0,0,108579800,896,-241824829,538587142,240547754,-36,27,-45,0,65445,3007,0,1,0
0,0,108580500,896,-241824900,538587153,240547657,-48,15,-4,0,58616,3012,0,1,0
0,0,108581300,897,-241824982,538587165,240547547,13,44,-19,0,64777,3017,0,1,0
0,0,108582200,898,-241825073,538587179,240547423,-49,10,19,0,57962,3022,0,1,0
0,0,108582900,899,-241825145,538587190,240547327,30,-41,31,0,64118,3027,0,1,0
0,0,108583800,900,-241825237,538587203,240547204,36,-14,-1,0,57314,3032,0,1,0
0,0,108584700,900,-241825328,538587216,240547081,-48,-14,33,0,56983,3037,0,1,0
0,0,108585500,901,-241825410,538587227,240546973,-17,21,-38,0,56655,3042,0,1,0
0,0,108586300,902,-241825492,538587238,240546865,29,37,-49,0,62796,3047,0,1,0
0,0,108586900,903,-241825553,538587247,240546783,-9,-37,40,0,62482,3052,0,1,0
0,0,108587500,903,-241825615,538587255,240546702,11,-20,-3,0,62162,3057,0,1,0
0,0,108588200,904,-241825687,538587264,240546607,-48,26,-31,0,55384,3062,0,1,0
0,0,108589000,905,-241825770,538587275,240546498,-50,-13,14,0,55067,3067,0,1,0
0,0,108589600,905,-241825833,538587283,240546417,19,-27,-7,0,61197,3072,0,1,0
0,0,108590200,906,-241825896,538587291,240546335,41,-46,34,0,54441,3077,0,1,0
0,0,108590700,906,-241825948,538587297,240546267,-17,-3,20,0,60567,3082,0,1,0
0,0,108591200,907,-241826001,538587303,240546199,-13,35,-27,0,60241,3087,0,1,0
0,0,108592000,908,-241826086,538587313,240546089,4,37,42,0,59912,3092,0,1,0
0,0,108592900,909,-241826181,538587324,240545967,-5,38,37,0,59563,3097,0,1,0
0,0,108593700,909,-241826265,538587334,240545860,-36,2,-44,0,52797,3102,0,1,0
0,0,108594500,910,-241826350,538587344,240545752,32,-50,16,0,52455,3107,0,1,0
0,0,108595300,911,-241826434,538587353,240545646,27,-25,-50,0,52115,3112,0,1,0
0,0,108596200,912,-241826528,538587363,240545526,6,-9,40,0,51775,3117,0,1,0
0,0,108596800,913,-241826591,538587370,240545447,38,-45,43,0,57842,3122,0,1,0
0,0,108597400,913,-241826654,538587376,240545368,38,11,33,0,57503,3127,0,1,0
0,0,108597900,914,-241826706,538587381,240545302,-40,48,30,0,57167,3132,0,1,0
0,0,108598700,914,-241826791,538587390,240545197,-1,-8,-7,0,50437,3137,0,1,0
0,0,108599700,915,-241826896,538587400,240545067,25,-1,13,0,50100,3142,0,1,0
0,0,108600700,916,-241826999,538587410,240544940,-8,-48,-22,0,49765,3147,0,1,0
0,0,108601700,917,-241827101,538587419,240544815,3,-35,-1,0,49431,3152,0,1,0
0,0,108602700,918,-241827201,538587427,240544693,-30,30,-8,0,49116,3157,0,1,0
0,0,108603600,919,-241827290,538587435,240544585,-20,-32,34,0,48804,3162,0,1,0
0,0,108604500,920,-241827378,538587442,240544480,20,-28,-22,0,54838,3167,0,1,0
0,0,108605400,921,-241827464,538587448,240544376,-42,46,-5,0,48146,3172,0,1,0
0,0,108606300,922,-241827550,538587455,240544274,13,-16,-3,0,47818,3177,0,1,0
0,0,108607300,923,-241827643,538587461,240544163,-33,49,7,0,47490,3182,0,1,0
0,0,108608300,924,-241827735,538587468,240544055,-17,-21,-35,0,47163,3187,0,1,0
0,0,108609300,925,-241827825,538587474,240543949,-27,-18,-47,0,46837,3192,0,1,0
0,0,108610200,926,-241827905,538587479,240543855,14,7,-2,0,46513,3197,0,1,0
0,0,108611100,927,-241827983,538587484,240543763,-4,23,14,0,46209,3202,0,1,0
0,0,108612000,928,-241828060,538587489,240543673,26,28,4,0,45919,3207,0,1,0
0,0,108612800,929,-241828127,538587494,240543594,21,-35,20,0,51923,3212,0,1,0
0,0,108613700,929,-241828201,538587498,240543507,-21,47,-22,0,45311,3217,0,1,0
0,0,108614600,930,-241828274,538587503,240543421,-30,9,8,0,51338,3222,0,1,0
0,0,108615500,931,-241828346,538587507,240543337,-14,47,2,0,51047,3227,0,1,0
0,0,108616300,932,-241828409,538587511,240543263,7,27,50,0,50758,3232,0,1,0
0,0,108617200,933,-241828478,538587516,240543182,-44,-43,-4,0,44179,3237,0,1,0
0,0,108618100,934,-241828546,538587520,240543102,-39,-24,16,0,43913,3242,0,1,0
0,0,108618800,935,-241828598,538587523,240543041,-37,-4,5,0,49927,3247,0,1,0
0,0,108619500,935,-241828650,538587526,240542980,9,12,36,0,43383,3252,0,1,0
0,0,108620200,936,-241828701,538587529,240542920,11,23,40,0,43134,3257,0,1,0
0,0,108621200,937,-241828772,538587534,240542836,-34,-42,48,0,42883,3262,0,1,0
0,0,108621800,938,-241828815,538587536,240542787,44,19,-17,0,48915,3267,0,1,0
0,0,108622500,938,-241828863,538587539,240542729,-25,31,28,0,48665,3272,0,1,0
0,0,108623400,939,-241828925,538587544,240542656,16,-46,2,0,42125,3277,0,1,0
0,0,108624400,940,-241828992,538587549,240542576,48,-50,14,0,41864,3282,0,1,0
0,0,108625300,941,-241829050,538587553,240542506,14,12,-28,0,41588,3287,0,1,0
0,0,108626300,942,-241829113,538587559,240542428,-19,-45,48,0,41280,3292,0,1,0
0,0,108627200,943,-241829169,538587564,240542360,3,-28,-33,0,41000,3297,0,1,0
0,0,108628200,944,-241829229,538587570,240542284,-49,-29,14,0,40737,3302,0,1,0
0,0,108628900,945,-241829271,538587574,240542232,-25,10,-48,0,46711,3307,0,1,0
0,0,108629700,945,-241829318,538587579,240542171,-45,34,47,0,40195,3312,0,1,0
0,0,108630500,946,-241829365,538587585,240542112,4,-21,-41,0,39918,3317,0,1,0
0,0,108631100,947,-241829399,538587589,240542067,-47,0,-28,0,39621,3322,0,1,0
0,0,108631700,947,-241829434,538587593,240542022,34,32,-11,0,45554,3327,0,1,0
0,0,108632400,948,-241829473,538587599,240541969,-35,-49,42,0,39027,3332,0,1,0
0,0,108633200,949,-241829518,538587605,240541910,-3,-42,-21,0,38730,3337,0,1,0
0,0,108633700,949,-241829546,538587608,240541873,28,46,-45,0,44656,3342,0,1,0
0,0,108634400,950,-241829584,538587614,240541820,-20,0,48,0,44358,3347,0,1,0
0,0,108635000,951,-241829617,538587619,240541776,4,-14,-22,0,44062,3352,0,1,0
0,0,108636000,952,-241829671,538587627,240541702,42,15,-27,0,37555,3357,0,1,0
0,0,108637000,953,-241829723,538587636,240541628,0,-36,32,0,37260,3362,0,1,0
0,0,108637900,954,-241829769,538587643,240541563,-11,45,-16,0,43178,3367,0,1,0
0,0,108638700,954,-241829809,538587651,240541505,-40,-41,-15,0,36694,3372,0,1,0
0,0,108639500,955,-241829849,538587658,240541447,-13,-9,-2,0,36422,3377,0,1,0
0,0,108640500,956,-241829898,538587667,240541375,35,28,40,0,36160,3382,0,1,0
0,0,108641400,957,-241829940,538587676,240541312,-49,-19,-49,0,35900,3387,0,1,0
0,0,108642400,958,-241829987,538587685,240541242,-18,24,-48,0,35639,3392,0,1,0
0,0,108643300,959,-241830028,538587694,240541179,-34,-37,43,0,41555,3397,0,1,0
0,0,108644000,960,-241830060,538587700,240541131,-21,8,33,0,35125,3402,0,1,0
0,0,108644600,960,-241830087,538587706,240541090,-41,-44,28,0,41038,3407,0,1,0
0,0,108645100,961,-241830110,538587710,240541056,-18,12,-4,0,40783,3412,0,1,0
0,0,108645700,961,-241830138,538587716,240541015,49,-43,-21,0,40527,3417,0,1,0
