iTOW,ecefVX,ecefVY,ecefVZ,sAcc
569587000,3,1,-1,9
569588000,0,-1,-1,12
569589000,1,0,3,9
569590000,0,2,0,11
569591000,-1,-1,1,7
569592000,-39,-19,6,8
569593000,-83,-40,36,8
569594000,-98,-50,23,9
569595000,-83,-58,26,8
569596000,-94,-53,18,8
569597000,-93,-69,33,8
569598000,-92,-51,24,8
569599000,-97,-62,31,8
569600000,-98,-65,41,7
569601000,-98,-68,33,7
569602000,-90,-54,39,7
569603000,-89,-54,33,7
569604000,-83,-56,48,7
569605000,-91,-50,60,7
569606000,-87,-48,47,6
569607000,-76,-65,68,6
569608000,-69,-60,63,6
569609000,-52,-67,73,6
569610000,-24,-53,88,6
569611000,-8,-42,96,5
569612000,-6,-48,95,5
569613000,-3,-51,99,5
569614000,4,-61,102,5
569615000,4,-53,104,5
569616000,15,-54,100,5
569617000,9,-69,100,6
569618000,0,-54,91,5
569619000,1,-51,96,5
569620000,7,-46,111,6
569621000,-2,-49,107,5
569622000,4,-53,111,5
569623000,-14,-63,107,6
569624000,0,-84,95,7
569625000,-3,-68,100,6
569626000,51,-30,80,6
569627000,94,35,18,8
569628000,84,64,-36,7
569629000,83,75,-64,6
569630000,55,67,-81,6
569631000,40,61,-92,5
569632000,53,81,-87,6
569633000,74,82,-68,6
569634000,89,73,-55,6
569635000,53,57,-67,6
569636000,80,71,-68,6
569637000,103,73,-68,6
569638000,97,68,-62,6
569639000,84,64,-55,7
569640000,84,73,-60,7
569641000,77,76,-68,7
569642000,67,78,-79,7
569643000,80,78,-78,7
569644000,83,78,-79,7
569645000,59,73,-93,7
569646000,62,72,-84,7
569647000,63,56,-77,8
569648000,93,58,-61,9
569649000,75,70,-74,8
569650000,59,74,-81,7
569651000,34,60,-86,7
569652000,16,59,-120,6
569653000,-8,41,-123,6
569654000,-34,35,-122,6
569655000,-16,36,-129,6
569656000,-7,42,-116,6
569657000,-13,17,-71,6
569658000,1,6,-10,6
569659000,-4,-3,-1,9
569660000,0,-1,0,10
569661000,1,-1,-1,13
569662000,-1,-2,-1,12
569663000,1,0,0,9
569664000,0,0,0,8
569665000,0,-2,-1,14
